Workout date, 2015-12-20 00:00:00 
Duration,86400
Calories burned,0
Mean heart rate,67.75
Maximum heart rate,176
Notes, Resting heart rate: 37 - 68 - 176
,
Time (seconds), Rate (beats per minute)
1140.5,42
1740.4,46
2340.4,41
3540.4,46
4140.4,39
4740.5,69
5340.5,74
5940.5,61
6540.4,57
7140.4,72
7740.5,57
8340.6,42
8940.5,49
9540.7,61
10140.5,41
10740.5,57
11340.5,42
11940.5,59
12540.6,44
13140.6,81
14394.2,74
14940.5,41
15540.5,69
16140.6,42
16740.5,46
17340.5,37
17940.5,41
18540.5,39
19140.7,44
19740.5,54
20340.7,69
20940.5,57
21540.6,57
22740.6,61
23340.6,41
23940.7,39
24540.6,61
25140.6,61
25740.6,44
26340.9,41
26940.6,39
27540.6,54
28140.6,77
28388.3,54
28393.3,53
29340.7,74
35960.1,74
42560,59
43760,65
44360.1,69
46160,61
47360.2,74
49760,61
53960,74
54560.3,67
59360.1,100
60935.2,112
60980.2,126
61020.2,118
61025.2,117
61030.2,116
61035.2,116
61040.2,116
61045.2,116
61050.2,112
61055.2,109
61060.2,110
61065.2,112
61070.2,112
61075.2,114
61080.2,116
61085.2,116
61090.2,116
61095.2,117
61100.2,118
61105.2,122
61110.2,123
61115.2,123
61120.2,125
61125.2,125
61130.2,125
61135.2,126
61140.2,126
61145.2,126
61150.2,126
61155.2,126
61160.2,126
61165.2,126
61170.2,126
61175.2,126
61180.2,126
61185.2,130
61190.2,132
61195.2,130
61205.2,153
61210.2,155
61215.2,155
61240.2,169
61245.2,161
61250.2,162
61255.2,167
61260.2,164
61265.2,162
61270.2,157
61275.2,162
61280.2,165
61285.2,167
61300.2,150
61305.2,150
61310.2,148
61315.2,146
61320.2,144
61325.2,140
61330.2,139
61335.2,139
61340.2,139
61345.2,139
61350.2,138
61355.2,135
61360.2,135
61365.2,134
61370.2,130
61375.2,129
61380.2,129
61385.2,129
61390.2,128
61395.2,126
61400.2,122
61405.2,123
61410.2,123
61415.2,123
61420.2,123
61425.2,123
61430.2,129
61435.2,131
61440.2,131
61445.2,131
61450.2,131
61455.2,135
61460.2,137
61465.2,137
61470.2,137
61475.2,134
61480.2,134
61485.2,134
61490.2,134
61495.2,133
61500.2,133
61505.2,133
61510.2,133
61515.2,133
61520.2,133
61535.2,132
61540.2,131
61545.2,131
61550.2,131
61555.2,131
61560.2,131
61565.2,133
61570.2,134
61575.2,135
61580.2,139
61585.2,139
61590.2,158
61605.2,176
61610.2,176
61615.2,171
61620.2,162
61625.2,162
61630.2,162
61635.2,162
61640.2,169
61645.2,165
61650.2,160
61655.2,158
61660.2,156
61665.2,153
61670.2,153
61675.2,150
61680.2,148
61685.2,147
61690.2,146
61695.2,144
61700.2,140
61705.2,138
61710.2,138
61715.2,138
61720.2,138
61725.2,138
61730.2,138
61735.2,140
61740.2,141
61745.2,141
61750.2,140
61755.2,141
61760.2,148
61765.2,148
61770.2,148
61775.2,148
61780.2,150
61785.2,135
61790.2,139
61795.2,139
61800.2,139
61805.2,139
61810.2,139
61815.2,139
61820.2,140
61825.3,142
61830.2,142
61835.2,141
61840.2,141
61845.2,141
61850.2,142
61855.2,142
61860.2,143
61865.2,143
61870.2,147
61875.2,149
61880.2,149
61885.2,149
61890.2,148
61895.2,148
61900.2,140
61905.2,135
61910.2,134
61915.2,133
61920.2,132
61945.2,113
61950.2,113
61955.2,122
61960.2,127
61965.2,130
61970.2,129
61975.2,129
61980.2,129
61985.2,129
61990.2,130
61995.2,130
62000.2,128
62005.2,127
62015.2,125
62020.2,126
62025.2,122
62030.2,125
62035.2,126
62040.2,126
62045.2,127
62050.2,130
62055.3,129
62060.2,129
62065.2,129
62070.2,129
62075.2,129
62080.2,127
62085.2,126
62090.2,126
62095.2,127
62100.2,128
62105.2,127
62110.2,126
62115.2,125
62120.2,119
62125.2,113
62130.2,107
62135.2,104
62140.2,104
62145.2,106
62150.2,106
62155.2,141
62160.2,142
62165.2,144
62180.2,119
62185.2,118
62195.2,115
62255.6,68
62265.6,68
62294.8,68
64760.2,81
67760.2,69
75221.1,77
75226.1,77
75231.1,78
75236.1,78
75241.1,78
75246.1,77
75251.1,76
75256.1,74
75261.1,72
75266.1,68
75271.1,67
75276.7,68
75281.1,68
75286.1,69
75291.1,69
75296.1,71
76160.4,88
76760.3,77
77360.4,81
79760.7,77
83360.2,54
84560.6,57
85160.3,100
85760.3,65
86361.1,69